id	title	description	link	image_link	additional_image_link	availability	price	sale_price	brand	condition	google_product_category	product_type	mpn	gtin	identifier_exists	item_group_id
the-solid-antique-gold-silk-pocket-square	The Solid Antique Gold Silk Pocket Square	The Solid Antique Gold Silk Pocket Square from Threaditionz is a men's silk pocket square in a solid antique-gold satin silk - warm metallic solid. Ideal for weddings, festive events and formal — its clean antique gold tone is easy to match and adds a polished finishing touch without competing with your outfit. Material: 100% Silk · Colour: Antique Gold · Size: 12" x 12"	https://threaditionz.co.uk/product/the-solid-antique-gold-silk-pocket-square	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/13-2_0be68666-8272-41a0-999c-3b9931bfda96.jpg?v=1719830444	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/13-4_4866f852-bd9b-43d0-a052-753af4b2638d.jpg?v=1719830444,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/13-3_b40f1386-a5fe-4124-b3de-af0eccbe969c.jpg?v=1719830444,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/13-1_a97ece34-fc4e-45ab-8f09-cd9e71b6c843.jpg?v=1719830444	in_stock	12.00 GBP		Threaditionz	new	Apparel & Accessories > Clothing Accessories > Handkerchiefs	Pocket Square			no	
the-solid-raisin-silk-pocket-square	The Solid Raisin Silk Pocket Square	The Solid Raisin Silk Pocket Square from Threaditionz is a men's silk pocket square in a solid raisin (espresso-brown) satin silk - deep neutral solid. Ideal for weddings, autumn events and business wear — its clean raisin brown tone is easy to match and adds a polished finishing touch without competing with your outfit. Material: 100% Silk · Colour: Raisin Brown · Size: 12" x 12"	https://threaditionz.co.uk/product/the-solid-raisin-silk-pocket-square	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/6-2_091b052b-1ab7-4b22-b532-0f5e7ee195f1.jpg?v=1719830458	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/6-4_fc583231-400e-44b8-88a9-5ec9f540893b.jpg?v=1719830458,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/6-3_91c521ec-8b1c-4110-b212-f4e875e48995.jpg?v=1719830458,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/6-1_9a791538-0f3f-46e7-bda6-81a0d9cb056c.jpg?v=1719830458	in_stock	12.00 GBP		Threaditionz	new	Apparel & Accessories > Clothing Accessories > Handkerchiefs	Pocket Square			no	
the-solid-navy-blue-silk-pocket-square	The Solid Navy Blue Silk Pocket Square	The Solid Navy Blue Silk Pocket Square from Threaditionz is a men's silk pocket square in a solid deep blue satin silk - essential solid. Ideal for weddings, business wear and black-tie events — its clean navy blue tone is easy to match and adds a polished finishing touch without competing with your outfit. Material: 100% Silk · Colour: Navy Blue · Size: 12" x 12"	https://threaditionz.co.uk/product/the-solid-navy-blue-silk-pocket-square	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/hf_20260530_163726_fa6446d7-37e1-4120-bc00-2ad05da0f2c5.png?v=1780159408	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/4-2_dcd29ca1-e4d2-4136-850e-cef76a1d5019.jpg?v=1719830467,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/4-4_cff35eef-6206-47e6-920f-19a397d6ab43.jpg?v=1719830467,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/4-3_60e0a731-bc60-4cf5-a88a-a5766baa2b52.jpg?v=1719830467,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/4-1_6e4b1082-ee42-4095-9547-aadd84e96f85.jpg?v=1719830467	in_stock	12.00 GBP		Threaditionz	new	Apparel & Accessories > Clothing Accessories > Handkerchiefs	Pocket Square			no	
the-solid-caribbean-green-silk-pocket-square	The Solid Caribbean Green Silk Pocket Square	The Solid Caribbean Green Silk Pocket Square from Threaditionz is a men's silk pocket square in a solid Caribbean-green (teal) satin silk - jewel-tone solid. Ideal for weddings, festive events and formal — its clean caribbean green tone is easy to match and adds a polished finishing touch without competing with your outfit. Material: 100% Silk · Colour: Caribbean Green · Size: 12" x 12"	https://threaditionz.co.uk/product/the-solid-caribbean-green-silk-pocket-square	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/12-2_d74fa1ac-cb75-4f0a-9f15-de293349b3dc.jpg?v=1719830475	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/12-4_f46ef044-a7ad-415e-ab7b-f0877ad4619f.jpg?v=1719830475,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/12-1_e3762fe1-d122-4bde-9d5d-d52fb61b72d6.jpg?v=1719830475,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/12-3_cacf62b6-b5aa-4bc4-ae5e-bbb840c5c00e.jpg?v=1719830475	in_stock	12.00 GBP		Threaditionz	new	Apparel & Accessories > Clothing Accessories > Handkerchiefs	Pocket Square			no	
the-solid-lemon-yellow-silk-pocket-square	The Solid Lemon Yellow Silk Pocket Square	The Solid Lemon Yellow Silk Pocket Square from Threaditionz is a men's silk pocket square in a solid lemon-yellow satin silk - bright solid. Ideal for summer events, weddings and daytime — its clean lemon yellow tone is easy to match and adds a polished finishing touch without competing with your outfit. Material: 100% Silk · Colour: Lemon Yellow · Size: 12" x 12"	https://threaditionz.co.uk/product/the-solid-lemon-yellow-silk-pocket-square	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/14-2_1b80b234-056a-4c0b-9b52-fcb6d52bb032.jpg?v=1719830483	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/14-4_f85f7c87-2a7b-4b30-83c8-48b0445753b9.jpg?v=1719830483,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/14-1_c1830309-6787-481c-9569-08f2f0fb9956.jpg?v=1719830483,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/14-3_4d36213c-d595-4c3a-b3b3-37d175525492.jpg?v=1719830483	in_stock	12.00 GBP		Threaditionz	new	Apparel & Accessories > Clothing Accessories > Handkerchiefs	Pocket Square			no	
the-solid-hot-pink-silk-pocket-square	The Solid Hot Pink Silk Pocket Square	The Solid Hot Pink Silk Pocket Square from Threaditionz is a men's silk pocket square in a solid hot-pink (magenta) satin silk - bold solid. Ideal for weddings, parties and statement looks — its clean hot pink tone is easy to match and adds a polished finishing touch without competing with your outfit. Material: 100% Silk · Colour: Hot Pink · Size: 12" x 12"	https://threaditionz.co.uk/product/the-solid-hot-pink-silk-pocket-square	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/10-2_55c0e367-4c61-4890-b78b-681df620de0d.jpg?v=1719830491	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/10-4_2e5e6496-8439-46fe-bc88-b407cace64a9.jpg?v=1719830491,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/10-1_0c3c812c-8036-4ad1-8a71-f70a003b8cc9.jpg?v=1719830491,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/10-3_4a3daf5d-f813-4df9-a0bb-b19f3347f873.jpg?v=1719830491	in_stock	12.00 GBP		Threaditionz	new	Apparel & Accessories > Clothing Accessories > Handkerchiefs	Pocket Square			no	
the-solid-taffy-pink-silk-pocket-square	The Solid Taffy Pink Silk Pocket Square	The Solid Taffy Pink Silk Pocket Square from Threaditionz is a men's silk pocket square in a solid taffy-pink (orchid) satin silk - soft solid. Ideal for spring/summer weddings, daytime events and formal — its clean taffy pink tone is easy to match and adds a polished finishing touch without competing with your outfit. Material: 100% Silk · Colour: Taffy Pink · Size: 12" x 12"	https://threaditionz.co.uk/product/the-solid-taffy-pink-silk-pocket-square	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/8-2_d8f5cbe8-6a19-4f6c-9e2e-ac86cffc4eab.jpg?v=1719830499	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/8-4.jpg?v=1719830499,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/8-1_63548143-c11f-4a1f-a8ff-316f44ba53ea.jpg?v=1719830499,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/8-3_5d1f2cdd-d656-43c6-a4d7-392f13e2dec5.jpg?v=1719830499	in_stock	12.00 GBP		Threaditionz	new	Apparel & Accessories > Clothing Accessories > Handkerchiefs	Pocket Square			no	
the-solid-vanilla-silk-pocket-square	The Solid Vanilla Silk Pocket Square	The Solid Vanilla Silk Pocket Square from Threaditionz is a men's silk pocket square in a solid vanilla (pale-yellow) satin silk - soft neutral solid. Ideal for weddings, daytime events and formal — its clean vanilla tone is easy to match and adds a polished finishing touch without competing with your outfit. Material: 100% Silk · Colour: Vanilla · Size: 12" x 12"	https://threaditionz.co.uk/product/the-solid-vanilla-silk-pocket-square	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/7-2_e150d941-0a5e-431b-9d02-38ab5db229dc.jpg?v=1719830507	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/7-4_2cb6fdb7-542f-432d-b04d-e32ef64553a3.jpg?v=1719830507,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/7-1_ee14c2a3-1e95-438c-8aac-41280f197062.jpg?v=1719830507,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/7-3_3d08db2c-353e-439e-afdf-d7817c6abf2f.jpg?v=1719830507	in_stock	12.00 GBP		Threaditionz	new	Apparel & Accessories > Clothing Accessories > Handkerchiefs	Pocket Square			no	
the-solid-sage-green-silk-pocket-square	The Solid Sage Green Silk Pocket Square	The Solid Sage Green Silk Pocket Square from Threaditionz is a men's silk pocket square in a solid sage-green satin silk - muted solid. Ideal for weddings, daytime events and formal — its clean sage green tone is easy to match and adds a polished finishing touch without competing with your outfit. Material: 100% Silk · Colour: Sage Green · Size: 12" x 12"	https://threaditionz.co.uk/product/the-solid-sage-green-silk-pocket-square	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/2-2_92c5f742-801f-499f-91c6-4180358141e2.jpg?v=1719830514	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/2-4.jpg?v=1719830514,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/2-1_10f17526-f1e2-49dd-9434-d77aaf0ccc34.jpg?v=1719830514,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/2-3_e66a907b-27d5-4b11-8fee-709e9fa18935.jpg?v=1719830514	in_stock	12.00 GBP		Threaditionz	new	Apparel & Accessories > Clothing Accessories > Handkerchiefs	Pocket Square			no	
the-solid-aquamarine-silk-pocket-square	The Solid Aquamarine Silk Pocket Square	The Solid Aquamarine Silk Pocket Square from Threaditionz is a men's silk pocket square in a solid aquamarine satin silk - fresh pastel solid. Ideal for spring/summer weddings, daytime events and formal — its clean aquamarine tone is easy to match and adds a polished finishing touch without competing with your outfit. Material: 100% Silk · Colour: Aquamarine · Size: 12" x 12"	https://threaditionz.co.uk/product/the-solid-aquamarine-silk-pocket-square	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/1-2_220aef52-33fd-472f-97ae-749dca70a217.jpg?v=1719830523	https://cdn.shopify.com/s/files/1/0688/1745/3281/files/1_bfcd46e6-03e7-4d3c-83b5-370d74bbd61d.jpg?v=1719830523,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/1-3_83e97843-f946-41ca-9b9b-73f3d5be029f.jpg?v=1719830523,https://cdn.shopify.com/s/files/1/0688/1745/3281/files/1-4.jpg?v=1719830523	in_stock	12.00 GBP		Threaditionz	new	Apparel & Accessories > Clothing Accessories > Handkerchiefs	Pocket Square			no	
